 |,| |,
,||,|
;|.|;|.
p|P|porro|Porro
|.||.
haec|Hec|haec|Hec
am|ham|Abraam|Abraham
 |,| |,
V|II|XIV|XIII
lia|ia|millia|milia
i||certii|certi
e|i|etate|etati
ad|in|ad|in
Hieronymo|Ieronimo|Hieronymo|Ieronimo
mporum|porum|temporum|teporum
n|m|consumenda|comsumenda
uordecim|tuordecim|quatuordecim|quattuordecim
s|m|uicesimus|uicesimum
y|i|Babyloniam|Babiloniam
|et||et
celos||celos|
i|y|Cain|Cayn
os|um|annos|annum
e|i|natiuitates|natiuitatis
e|ae|sue|suae
c|C|cainan|Cainan
hl|lh|Malahelel|Malalehel
S|s|Septuaginta|septuaginta
S|s|Septuaginta|septuaginta
ugustinus|gustinus|Augustinus|Agustinus
e|ae|que|quae
e|ae|que|quae
nnt|mt|continent|comtinet
h||Enoch|Enoc
i||sabbatii|sabbati
|s|generatione|generationes
a||consecrata|consecrat
ia|le|milia|mille
 |;| |;
lia|ia|millia|milia
fatorum|phatorum|prefatorum|prephatorum
m||distantiam|distantia
ertisime|lertisime|solertissime|sollertissime
e|a|Mathusalem|Mathusalam
i|I|incipit|Incipit
 |hora| |hora
s|ns|commemoras|commemorans
genuit||genuit|
|us|Iacob|Iacobus
c|t|cum|tum
CCX|DX|CCCXXX|CDXXX
 |,| |,
LIV|XXIV|CXLIV|CXXXIV
m|n|nomem|nomen
edificata|hedificata|edificata|hedificata
gente|ngente|quadrigente|quadringente
Rinocururis|Arinocururis|Rinocururis|Arinocururis
um|o|barbaricum|barbarico
que||que|
S|s|Septuaginta|septuaginta
C|VII|CCC|CCVII
h|b|Nahor|Nabor
VII|C|CCVII|CCC
i|y|Egiptiorum|Egyptiorum
s|r|Assisiorum|Assiriorum
.||.|
em|limam|difficilem|difficillimam
r|t|Orosius|Otosius
 |fiunt| |fiunt
arem|sarem|Cesarem|Cessarem
i|I|incipit|Incipit
pit|rte|cepit|certe
s|S|septuaginta|Septuaginta
o|a|Zoroas|Zaroas
r|t|Orosius|Otosius
m|s|primum|primus
i|y|Assirios|Assyrios
e|i|libidine|libidini
Ninus||Ninus|
 |,| |,
erit|it|regnauerit|regnauit
i||imperii|imperi
|m|Ysmahelite|Ysmahelitem
G|g|Genuit|genuit
entum||centum|c
ch|hac|Ysach|Ysahac
ch|hac|Ysach|Ysahac
ch|hac|Ysach|Ysahac
ch|hac|Ysach|Ysahac
y|ii|Egyptii|Egiptiii
ius|s|eius|es
i|y|Egipto|Egypto
s||annos|anno
I||MMCDLIII|MMCDLII
uerunt|erunt|mansuerunt|manserunt
us||eius|ei
Abrahe|Habrahe|Abrahe|Habrahe
c|C|chaat|Chaat
m|n|Chanaam|Chanaan
a|u|ipsam|ipsum
|t|fuisse|fuisset
mam|am|summam|sumam
|s|translationi|translationis
promissiones|repromissiones|promissiones|repromissiones
s|f|Ansectione|Anfectione
rope|crope|Cerope|Cecrope
a|o|aquarum|aquorum
it|ti|monitum|montium
a|o|Parnaso|Parnoso
|m|tempora|temporam
 |,| |,
e|i|mare|mari
icere|cere|coniicere|conicere
b|p|Eusebius|Eusepius
 |tria| |tria
e|i|leges|legis
s||Moysis|Moysi
